company_id,company_founded,company_industry,company_name,company_size,company_specialties,company_region
1550,"1945.0","Hospitals and Health Care","Kaiser Permanente","10.001+ employees","Not Valuable","California"
96490188,"Not Valuable","Hospitals and Health Care","Inizio Engage","5.001-10.000 employees","Not Valuable","Pennsylvania"
18505670,"2017.0","Financial Services","Brex","1.001-5.000 employees","Not Valuable","California"
47664606,"2020.0","Software Development","Promoted.ai","2-10 employees","Not Valuable","CA"
100901807,"Not Valuable","Business Consulting and Services","Amplytics","11-50 employees","Not Valuable","CA"
10638732,"2016.0","Financial Services","Nova Credit","51-200 employees","Not Valuable","California"
4257,"Not Valuable","Insurance","Humana","10.001+ employees","Not Valuable","Kentucky"
2204084,"Not Valuable","Not Valuable","Talentify.io","Not Valuable","Not Valuable","Not Valuable"
50434,"Not Valuable","Not Valuable","Sourcebooks","Not Valuable","Not Valuable","Not Valuable"
10108666,"Not Valuable","Not Valuable","Universal Healthcare Consulting","Not Valuable","Not Valuable","Not Valuable"
213746,"Not Valuable","Not Valuable","FPC (FORTUNE PERSONNEL CONSULTANTS - Orlando Office)","Not Valuable","Not Valuable","Not Valuable"
96644436,"Not Valuable","Financial Services","Logistics Management Institute","2-10 employees","Not Valuable","Not Valuable"
62844856,"Not Valuable","Restaurants","Rock Springs Cafe & General Store","11-50 employees","Not Valuable","Not Valuable"
2683478,"Not Valuable","Not Valuable","Web Hosting Canada (WHC)","Not Valuable","Not Valuable","Not Valuable"
104197161,"Not Valuable","Staffing and Recruiting","Magenta Search","1 employee","Not Valuable","Not Valuable"
91610647,"Not Valuable","Hospitals and Health Care","The Cigna Group","10.001+ employees","Not Valuable","Not Valuable"
2076953,"Not Valuable","Not Valuable","Pagos Consultants","Not Valuable","Not Valuable","Not Valuable"
33917580,"Not Valuable","Consumer Services","Exl Service Private Limited;Noida","51-200 employees","Not Valuable","Not Valuable"
72405837,"Not Valuable","Not Valuable","Air Products and Chemicals","Not Valuable","Not Valuable","Not Valuable"
104152817,"2024.0","Information Services","Silurian AI","2-10 employees","Not Valuable","Not Valuable"
42355938,"Not Valuable","Transportation; Logistics; Supply Chain and Storage","HomeSafe Alliance","201-500 employees","Not Valuable","Not Valuable"
82485916,"2022.0","Hospitals and Health Care","Corewell Health","10.001+ employees","Not Valuable","Not Valuable"
10531907,"2004.0","Business Consulting and Services","Radiant System","11-50 employees","Not Valuable","Not Valuable"
42408658,"Not Valuable","Venture Capital and Private Equity Principals","Sidekick Partners","2-10 employees","Not Valuable","Not Valuable"
55791822,"Not Valuable","Retail","Clay Cooley Auto Group","51-200 employees","Not Valuable","Not Valuable"
105608941,"Not Valuable","Software Development","Verla Technologies","51-200 employees","Not Valuable","Not Valuable"
105607950,"Not Valuable","Software Development","Viro Software Solutions","51-200 employees","Not Valuable","Not Valuable"
84004164,"Not Valuable","Not Valuable","Interon IT Solutions","Not Valuable","Not Valuable","Not Valuable"
27367895,"Not Valuable","Not Valuable","SKML INFO TECHNOLOGY SERVICES PRIVATE LIMITED","Not Valuable","Not Valuable","Not Valuable"
245926,"1866.0","Hospitals and Health Care","NYC Department of Health and Mental Hygiene","5.001-10.000 employees","Not Valuable","New York"
2651,"Not Valuable","Government Administration","Caltrans","10.001+ employees","Not Valuable","CA"
64564430,"Not Valuable","Business Consulting and Services","Swipe Say Easy","11-50 employees","Not Valuable","Georgia"
27156989,"Not Valuable","Restaurants","Inspire","10.001+ employees","Not Valuable","Georgia"
85677,"1927.0","Paper and Forest Product Manufacturing","Georgia Pacific","10.001+ employees","Not Valuable","GA"
858214,"1973.0","Hospitals and Health Care","AdventHealth","501-1.000 employees","Not Valuable","FL"
68039134,"Not Valuable","Hospitals and Health Care","Invent Health","11-50 employees","Not Valuable","CA"
879949,"1975.0","Environmental Services","Loureiro Engineering Associates; Inc.","51-200 employees","Not Valuable","Connecticut"
14562120,"2018.0","Embedded Software Products","Swift","11-50 employees","Not Valuable","Karnataka"
5064,"1789.0","Government Administration","U.S. Department of the Treasury","10.001+ employees","Not Valuable","DC"
90426493,"2006.0","Business Consulting and Services","Get It - Real Estate","2-10 employees","Not Valuable","DC"
49685,"2005.0","Government Administration","Office of the Director of National Intelligence","1.001-5.000 employees","Not Valuable","DC"
90425499,"2006.0","Professional Services","Get It - Professional Services","2-10 employees","Not Valuable","DC"
10840032,"2016.0","Information Technology & Services","BluePath Labs (8(a) & SDVOSB)","51-200 employees","Not Valuable","DC"
6151908,"Not Valuable","Human Resources Services","DC Department of Human Resources","51-200 employees","Not Valuable","District of Columbia"
27179912,"2018.0","Staffing and Recruiting","Arrow Search Partners","51-200 employees","Not Valuable","NY"
98524765,"Not Valuable","Business Consulting and Services","AURA","51-200 employees","Not Valuable","NY"
4429732,"Not Valuable","Graphic Design","Equinox Holdings Ltd","Not Valuable","Not Valuable","NY"
74615750,"2020.0","Financial Services","Imprint","51-200 employees","Not Valuable","NY"
2184099,"2008.0","Venture Capital and Private Equity Principals","ff Venture Capital","11-50 employees","Not Valuable","Not Valuable"
12462,"1864.0","Non-profit Organizations","Girls Inc.","11-50 employees","Not Valuable","NY"
99452,"Not Valuable","Public Relations and Communications Services","IPG DXTRA","1.001-5.000 employees","Not Valuable","Not Valuable"
71685312,"Not Valuable","Armed Forces","U.S. Army CECOM","10.001+ employees","Not Valuable","Maryland"
37231,"Not Valuable","Government Administration","Cherokee Nation","10.001+ employees","Not Valuable","OK"
16226207,"Not Valuable","Biotechnology Research","Eurofins US Food; Feed; & Supplement Testing","10.001+ employees","Not Valuable","Iowa"
76438625,"2006.0","Armed Forces","U.S. Army Sustainment Command","10.001+ employees","Not Valuable","Illinois"
90638112,"2014.0","Consumer Services","YONDR","51-200 employees","Not Valuable","Not Valuable"
69088863,"1923.0","Information Services","NielsenIQ","10.001+ employees","Not Valuable","Illinois"
69043392,"Not Valuable","Hospitals and Health Care","Cardiosense","11-50 employees","Not Valuable","Illinois"
91388680,"2023.0","Education","MagicSchool AI","51-200 employees","Not Valuable","Colorado"
91431767,"2023.0","Hospitals and Health Care","Hippocratic AI","51-200 employees","Not Valuable","California"
4615,"1788.0","Government Administration","Commonwealth of Massachusetts","10.001+ employees","Not Valuable","MA"
56304,"1969.0","Medical Practices","Ophthalmic Consultants of Boston","201-500 employees","Not Valuable","MA"
86333130,"Not Valuable","Marketing Services","The MGN Foundation","11-50 employees","Not Valuable","Virginia"
1297696,"1900.0","Insurance","Globe Life","1.001-5.000 employees","Not Valuable","Texas"
102447578,"Not Valuable","Marketing Services","Surmount Innovations","11-50 employees","Not Valuable","Texas"
770704,"2011.0","Investment Management","Riveria Group","11-50 employees","Not Valuable","New York"
18244263,"1968.0","Non-profit Organizations","Heluna Health","1.001-5.000 employees","Not Valuable","CA"
35508199,"2018.0","Advertising Services","Malibu Events Promotions","11-50 employees","Not Valuable","Florida"
101266340,"Not Valuable","Marketing Services","Miracom Hive","11-50 employees","Not Valuable","Florida"
92699700,"2023.0","Staffing and Recruiting","Goliath Partners","2-10 employees","Not Valuable","Florida"
79050423,"2021.0","Venture Capital and Private Equity Principals","Coactive Science","2-10 employees","Not Valuable","Florida"
103362232,"2024.0","IT Services and IT Consulting","TrekRecruit","11-50 employees","Not Valuable","Wyoming"
11855072,"2018.0","Software Development","Dune","11-50 employees","Not Valuable","Oslo"
27451857,"1953.0","Mental Health Care","Oklahoma Department of Mental Health and Substance Abuse Services","1.001-5.000 employees","Not Valuable","Oklahoma"
2381199,"1891.0","Government Administration","City of Pasco","201-500 employees","Not Valuable","Washington"
18441463,"2018.0","Education Administration Programs","Ambition Preparatory Charter School","51-200 employees","Not Valuable","Mississippi"
64854093,"1861.0","Government Administration","Kansas Office of Judicial Administration","1.001-5.000 employees","Not Valuable","KS"
16225085,"2015.0","Wellness and Fitness Services","KidStrong","11-50 employees","Not Valuable","Texas"
4823,"1872.0","Transportation; Logistics; Supply Chain and Storage","DB Schenker","10.001+ employees","Not Valuable","Not Valuable"
80814146,"Not Valuable","Hospitals and Health Care","RVO Health","1.001-5.000 employees","Not Valuable","North Carolina"
1344,"Not Valuable","Appliances; Electrical; and Electronics Manufacturing","Honeywell","10.001+ employees","Not Valuable","North Carolina"
3211987,"2012.0","IT Services and IT Consulting","Tailored Technology Services Inc.","11-50 employees","Not Valuable","California"
9325611,"2010.0","IT Services and IT Consulting","CARE IT Services Inc","51-200 employees","Not Valuable","New Jersey"
67849,"2005.0","Software Development","Etsy","1.001-5.000 employees","Not Valuable","NY"
82825689,"Not Valuable","Software Development","Microsoft Power Platform Community","10.001+ employees","Not Valuable","Washington"
5948762,"Not Valuable","Government Relations Services","USMEPCOM","1.001-5.000 employees","Not Valuable","IL"
2449492,"1921.0","Mining","O'Neal Industries","1.001-5.000 employees","Not Valuable","AL"
53119654,"2019.0","Biotechnology Research","Enveda","201-500 employees","Not Valuable","CO"
80427781,"2021.0","Data Infrastructure and Analytics","Walmart Data Ventures","201-500 employees","Not Valuable","Arkansas"
3604763,"Not Valuable","Security and Investigations","Securitas Group","10.001+ employees","Not Valuable","Not Valuable"
91586253,"Not Valuable","Engineering Services","AtkinsRéalis","10.001+ employees","Not Valuable","QC"
1666,"1983.0","Software Development","Intuit","10.001+ employees","Not Valuable","California"
42355044,"1999.0","Banking","INB; National Association","201-500 employees","Not Valuable","Illinois"
617961,"Not Valuable","Biotechnology Research","Sarepta Therapeutics","1.001-5.000 employees","Not Valuable","MA"
15083068,"2007.0","Railroad Equipment Manufacturing","Loram UK Ltd","51-200 employees","Not Valuable","England"
8731,"1849.0","Government Administration","City of Fort Worth","5.001-10.000 employees","Not Valuable","Texas"
16800,"1925.0","Hospitals and Health Care","Sarasota Memorial Health Care System","5.001-10.000 employees","Not Valuable","Florida"
10286305,"Not Valuable","Non-profit Organizations","Middle Management Association","2-10 employees","Not Valuable","Minnesota"
82671765,"2021.0","Insurance","The Ferrin Agency","11-50 employees","Not Valuable","UT"
2700663,"2005.0","Hospitals and Health Care","MemorialCare","10.001+ employees","Not Valuable","CA"
3617422,"Not Valuable","Hospitals and Health Care","Optum","10.001+ employees","Not Valuable","MN"
5250800,"2014.0","Financial Services","Point72","1.001-5.000 employees","Not Valuable","Connecticut"
65610588,"1970.0","Law Practice","Perdue Brandon Fielder Collins & Mott; LLP","201-500 employees","Not Valuable","Texas"
276385,"Not Valuable","Public Health","New York State Department of Health","5.001-10.000 employees","Not Valuable","New York"
81942342,"1964.0","Truck Transportation","Pittsburgh Regional Transit","1.001-5.000 employees","Not Valuable","Pennsylvania"
3804538,"Not Valuable","Chemical Manufacturing","Solenis","10.001+ employees","Not Valuable","DE"
10791785,"2010.0","Armed Forces","U.S. Army Cyber Command","10.001+ employees","Not Valuable","GA"
89432,"2000.0","Government Administration","City of Elk Grove","201-500 employees","Not Valuable","CA"
105526220,"Not Valuable","Hospitality","Hospitality ahead","1 employee","Not Valuable","Not Valuable"
104085107,"Not Valuable","Software Development","Jobs via Dice","1 employee","Not Valuable","Not Valuable"
93822074,"2023.0","Software Development","HustleWing - Side hustles for professionals","2-10 employees","Not Valuable","Not Valuable"
1449613,"1828.0","Public Policy Offices","Florida Democratic Party","11-50 employees","Not Valuable","Not Valuable"
963761,"Not Valuable","Motor Vehicle Manufacturing","Volkswagen of South Charlotte","51-200 employees","Not Valuable","Not Valuable"
1166377,"Not Valuable","Primary and Secondary Education","Burlington School District","1.001-5.000 employees","Not Valuable","Not Valuable"
18583501,"Not Valuable","Technology; Information and Internet","Stealth Startup","11-50 employees","Not Valuable","Haryana"
3549096,"1954.0","Medical Practices","Granger Medical Clinic","501-1.000 employees","Not Valuable","Utah"
89885194,"2019.0","Market Research","Apex Focus Group","11-50 employees","Not Valuable","Georgia"
1327,"Not Valuable","Defense and Space Manufacturing","Naval Air Systems Command (NAVAIR)","10.001+ employees","Not Valuable","Maryland"
11764213,"Not Valuable","Not Valuable","Into City Prep","Not Valuable","Not Valuable","Not Valuable"
90837823,"Not Valuable","Food and Beverage Retail","Nestle","5.001-10.000 employees","Not Valuable","WY"
23326,"1923.0","Utilities","Orlando Utilities Commission (OUC - The Reliable One)","1.001-5.000 employees","Not Valuable","Florida"
76609518,"Not Valuable","IT Services and IT Consulting","RapidBrains","201-500 employees","Not Valuable","Not Valuable"
280752,"Not Valuable","Hospitals and Health Care","MaineHealth","10.001+ employees","Not Valuable","Maine"
135882,"1960.0","Facilities Services","FBG Facility Services","1.001-5.000 employees","Janitorial Services; Grounds Management; General Maintenance; Snow Removal; Mechanical/Electrical; Waste/Recycling Management;; Pest Control; Shipping/Receiving; Facility Management; Facility Maintenance; Green Cleaning; Environmental Services; and Maintenance Service","NE"
1030330,"2010.0","Financial Services","Marqeta","501-1.000 employees","Virtual and Physical Cards; Tokenization; On Demand Delivery; API; Alternative Lending; Real-Time Data; Expense Management; Card Issuing/Fullfillment; Disbursement; Customer Communication; Just In Time Funding; Flexible Spend Controls; Real-Time Funding Configurations; and Embedded Finance","California"
10463654,"2013.0","Hospitals and Health Care","Care Hospice; Inc.","1.001-5.000 employees","Hospice","Virginia"
10180844,"2017.0","Software Development","Workstream","201-500 employees","Training ; Applicant Tracking Software; Customized Workflow; Machine Learning; Aviation; SMB; Franchises; manufacturing; Scheduling; and Interviewing","California"
6403572,"2015.0","Software Development","Captiv8","51-200 employees","SaaS; Social Media; Marketing; Influencer Marketing; and Advertising","CA"
2320329,"2011.0","Software Development","Twitch","1.001-5.000 employees","Live Streaming Video & Interactive Entertainment Networking","California"
75031133,"Not Valuable","IT Services and IT Consulting","The Dignify Solutions; LLC","51-200 employees","Information Technology - Staffing & Solutions Services","California"
6647795,"2012.0","Semiconductor Manufacturing","Diamond Foundry","501-1.000 employees","Luxury Goods & Jewelry; Semiconductor; Green Energy; and Sustainable tech manufacturing","CA"
89759,"2005.0","Software Development","Demandbase","501-1.000 employees","marketing; account-based marketing; B2B marketing; B2B sales; company-targeted advertising; web analytics; web optimization; targeting; personalization; web personalization; account-based advertising; display advertising; b2b programmatic advertising; b2b go-to-market; account-based experience; multi-channel orchestration; attribution; predictive analytics; sales insights; account intelligence; account identification; intent data; technographics; B2B contact data; firmographics; B2B data; sales intelligence; sales insights; and account-based analytics","CA"
17981957,"2017.0","Mental Health Care","Two Chairs","501-1.000 employees","Measurement-Based Care¬†; Matching clients and clinicians¬†; Hybrid care (in-person and virtual)¬†; Time-limited care¬†; Clinical community¬†; Transtheoretical work with specialties in EMDR; CBT; ACT; Psychodynamic and more¬†; Depressive disorders¬†; Anxiety disorders¬†; Adjustment Disorders¬†; Trauma-related disorders¬†; Psychosocial¬†; Bipolar and related disorders¬†; Neurodevelopmental¬†; Alcohol; Eating disorders¬†; Disorders in remission; and Obsessive-compulsive","California"
18116834,"Not Valuable","Renewable Energy Power Generation","Leap","51-200 employees","virtual power plants; grid services; distributed energy resources; energy markets; and demand response","California"
674534,"1902.0","Banking","Queensborough National Bank and Trust Co.","201-500 employees","Mortgage Loans; Trust Services; Agriculture Financing; SBA Lending; Online Banking; Mobile Banking and Bill Pay; Business Banking; Consumer Lending; Remote Deposit; Real Estate Lending; Commercial Lending; Merchant Services; Checking Accounts; Savings Accounts; and Interactive Teller Machines","Georgia"
13197,"Not Valuable","Government Administration","City of Indianapolis","5.001-10.000 employees","Government; Finance ; Public Service; Social Work ; Public Safety ; Corrections; Police; and Fire","Indiana"
1762307,"2008.0","Advertising Services","Slalom Marketing Consulting","1 employee","Marketing strategy development; Brand development; Communications; Events; and Lead generation campaigns","Not Valuable"
3865176,"2017.0","Staffing and Recruiting","KnowHireMatch","51-200 employees","Recruiting; Talent Marketing; Talent Coach; Job Network; Human Resources; Life Coach; Career Coach; Contract Recruiting; Technical Recruiter; and IT Recruiter","Not Valuable"
21099,"1976.0","Spectator Sports","Seattle Seahawks","201-500 employees","Sports; Entertainment; Football; Seattle; and Community","Not Valuable"
93795393,"2011.0","Staffing and Recruiting","LauLau Remote Offshore Staffing","51-200 employees","remote staffing; offshore recruitment; offshore staffing; virtual assistants; international recruitment; and legal recruitment","Not Valuable"
4718778,"1962.0","Warehousing and Storage","Custom Goods","501-1.000 employees","Warehousing; Transportation; Specialty Freight Forwarding Services; CES (Customs Exam Sites); Drayage; eCommerce; Cross-Docking (Transloading); Bundling; Kitting; Fulfillment; Freight Consolidation; Special Packaging; Air freight Containers; Repackaging and Remarking; FTZ Freight Processing (Ocean and Air); Campaign (Product / Safety Recall) Related; Exception / Ad-hoc Requests; US and Canadian VOR Programs; Damage Reduction Programs; Reverse Logistics; CFS capabilities; and National Dealer Campaigns","Not Valuable"
11457596,"1975.0","Hospitals and Health Care","Vituity","1.001-5.000 employees","Acute Neurology ; Acute Psychiatry; Anesthesiology; Critical Care; Emergency Medicine; Hospital Medicine ; Post-Acute Care; Surgical Care; Teleneurology; Telepsychiatry; Teleurgent Care; Urgent Care; Practice Management Services; Revenue Cycle Services; and Telemedicine","CA"
327412,"2008.0","Advertising Services","Resonate","51-200 employees","Intelligence-to-Activation; Marketing Analytics; Online advertising; Values and motivations based marketing; Brand marketing; Attitudinal targeting; Political campaign advertising; Brand advertising; Issue advocacy advertising; Consumer Insights; Media Activation ; Data; Digital Marketing; Consumer Research; Market Segmentation; Digital Marketing Measurement; Marketing Insights; Advertising Insights; Marketing Planning; Advertising Planning; Customer Experience Planning; AI-Driven Insights; Marketing Data; Customer Data; Data Enrichment; Marketing Research; Market Research; DMP; CDP; Data Append; Custom Research; Marketing Activation; Advertising Activation; Segmentation; Managed Media; Media Planning; Customer Acquisition; Customer Engagement; Advertising Analytics; Marketing Performance; ROAS; Advertising Targeting; Audience Insights; Agile Marketing; Psychographic Data; Consumer Sentiment Tracking; Consumer Trends; Voter Data; Voter Targeting; and Voter Insights","VA"
1614,"2013.0","IT Services and IT Consulting","SAIC","10.001+ employees","IT Solutions; Systems Engineering; IT Modernization; Space; Data Analytics; Digital Transformation; AI; Digital Engineering; App Modernization; Health IT; JADC2; Secure Cloud; Enterprise IT; Systems Integration & Delivery; and Cybersecurity","VA"
1034009,"Not Valuable","Non-profit Organizations","Greater Philadelphia YMCA","1.001-5.000 employees","Child Care; Youth Sports; Swim Lessons; Summer Day Camps; Volunteer Opportunities; Adult Sports; Personal Training; Community Events; Resident Camp; Active Older Adults; Group Exercise Classes; wellness; Healthy Living; and Connection","PA"
29603,"1934.0","Banking","Firstrust Bank","201-500 employees","Commercial Real Estate; Investment Real Estate; Business Banking; Commercial Lending; Home Owners Association Lending; Checking & Deposit Accounts; SBA Lending; Online Banking; Veterinary Lending; Asset Backed Financing; and Consumer Lending","PA"
78932,"1982.0","Mental Health Care","Workplace Options","1.001-5.000 employees","Healthcare; Employee Wellbeing; Work-Life Programs; Health and Wellness Programs; Behavioral Health Services; Consulting; Mental Health; Critical Incident Services; Mindfulness; Employee Benefits; Global Services; HR Services; Employee Engagement; Employee Productivity; Corporate Wellness Programs; Employee Assistance Program; Workplace Wellbeing; Psychotherapy; Coach Training ; Online Therapy; Telehealth; and Employee Engagement","NC"
18102043,"Not Valuable","Hospitals and Health Care","Providence","10.001+ employees","healthcare; hospital; mission and charity; not-for-profit; community hospital; insurance; and community benefit","Not Valuable"
2340,"Not Valuable","Insurance","Nationwide","10.001+ employees","Insurance; Banking; Investments; Annuities; and Life Insurance and Retirement Planning","Not Valuable"
92972565,"Not Valuable","Technology; Information and Media","GPTZero","11-50 employees","ML/AI; LLM; and ai detection","New York"
163025,"1993.0","Restaurants","Chipotle Mexican Grill","10.001+ employees","Burritos; bowls; and tacos and salads.","California"
11142334,"1975.0","Government Administration","City of Manassas","201-500 employees","Economic Development; General Aviation Airport; Great Access; Rich History; Charming; Modern; Welcoming; Friendly; and Community","Virginia"
17029,"1849.0","Government Administration","City of Sacramento","1.001-5.000 employees","Local Government","CA"
2844,"1968.0","Hospitals and Health Care","UC Davis Health","10.001+ employees","One of the nation's best medical schools; an NCI-designated comprehensive cancer center; the Betty Irene Moore School of Nursing; a neurodevelopmental institute; a stem cell institute; a full-service children‚Äôs hospital; and level-1 trauma center","CA"
24998442,"1999.0","Staffing and Recruiting","The Goodwin Group","2-10 employees","Executive Search; Board Selection; and Advisory","Georgia"
33302112,"1899.0","IT Services and IT Consulting","Equifax El Salvador","5.001-10.000 employees","risk modeling; marketing data; identity protection; commercial information; HR compliance; employment verification; ACA compliance; and credit reporting","GA"
1534,"1979.0","Retail","The Home Depot","10.001+ employees","retail; home improvement; and customer service","Georgia"
72055323,"2011.0","Software Development","Artmac","11-50 employees","Application Management Services; IT Staff Augmentation; Test Automation; RPA; AI; digital transformation; Devops; Cloud solutions; Enterprise Mobility; Staff Augmentation; Workforce Solutions; Recruiting; Automation; Project Engagement; Business Intelligence services; Technology Consulting; Staffing Services (Temping & Permanent); Infrastructure Management Services; Enterprise Technology Integration; robotic process automation; Artificial Intelligence;  IoT; machinelearning; SAP; Quality Assurance; CRM; HCM;  IT Talent Management Expertise; Digital Services; and Process Automation","Georgia"
24784307,"Not Valuable","Hospitals and Health Care","North Mississippi Health Services","5.001-10.000 employees","Gastroenterology; Emergency Medicine; Cardiology; Surgery; Internal Medicine; Family Medicine; Pathology; Radiology; Hematology & Oncology; Neurology; Neurosurgery; Infectious disease; Bariatric; Geriatric Medicine; Cardiothoracic Surgery; Obstetrics & Gynecology; Pediatrics; Pulmonary; Sports Medicine; Psychiatry; Physiatry; and Tele Medicine","Mississippi"
13285,"1894.0","Hospitals and Health Care","Parkland Health","10.001+ employees","Level I Trauma Center; Burn Center; Neonatal Intensive Care; Community Oriented Primary Care; Spinal Cord Injuries; Endocrinology; Epilepsy Center; Cardiology; Oncology; Women's and Children's Services; Gastroenterology Lab; Orthopedics; and Correctional Health","Texas"
82341727,"2022.0","Education","Ellington Cyber Academy","1 employee","cybersecurity; Splunk; and SOAR","Texas"
17966039,"2015.0","Hospitals and Health Care","Verily","1.001-5.000 employees","healthcare; hardware; software; clinical studies; scientific research; disease management platforms; sensors; population health management; precision medicine; precision health; health equity; digital health; and health tech","Texas"
164414,"Not Valuable","Hospitals and Health Care","Intermountain Health","10.001+ employees","Cancer; Heart Services; Women's Services; Orthopedics.; Healthcare; and Pediatrics","UT"
16178570,"1948.0","Hospitals and Health Care","Pinnacle Living","501-1.000 employees","assisted living; retirement living; healthcare living; person first; health and wellness; Memory Support; Household & Neighborhood Model; and Person Centered","Virginia"
